Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
1/1/1927,0.9999812,1.0000416,1.0001668,1.000096,0.9999876,1.0001232,1.0000592,1.0000256,0.9999764,1.0000472
2/1/1927,1.000320794,1.000196806,1.000500056,1.000399629,1.000179198,1.000342027,1.000275213,1.000197604,1.000206795,1.000270411
3/1/1927,1.000074715,0.999992366,1.000404808,1.000335604,1.000113986,1.000274004,1.000294818,1.000136392,1.000221598,1.000239202
4/1/1927,1.000179123,0.999955167,1.00040881,1.000287587,1.000117586,1.000290008,1.000345633,1.000113589,1.000310417,1.000416044
5/1/1927,1.000223931,1.00010436,1.000649308,1.000494447,1.000419622,1.000660916,1.000610125,1.000442027,1.000586903,1.000816211
6/1/1927,0.999944268,1.000060355,1.000571257,1.000416008,1.000317179,1.000666119,1.00055329,1.00040521,1.000494049,1.000709324
7/1/1927,1.000221852,1.000231966,1.000780177,1.000663311,1.000535648,1.000858247,1.000851855,1.000589285,1.000720961,1.001089593
8/1/1927,1.000127832,1.000361196,1.000738144,1.000666513,1.000597681,1.000887872,1.00092872,1.0006157,1.000739774,1.001027125
9/1/1927,1.000105429,1.000534458,1.000781776,1.000773384,1.000655716,1.001034402,1.00106885,1.000755787,1.001038395,1.001163665
10/1/1927,0.999838601,1.000354762,1.000580419,1.00058684,1.000593275,1.000913477,1.000926298,1.000710552,1.000863413,1.000983856
11/1/1927,1.001027609,1.000736498,1.000909409,1.000936245,1.00087064,1.001275007,1.001244993,1.000999958,1.001177685,1.001317384
12/1/1927,1.001198985,1.000773725,1.000974669,1.001111209,1.001058803,1.001432408,1.001308272,1.001060418,1.001354292,1.001513642
1/1/1928,1.001333145,1.000897821,1.001106797,1.001437971,1.001143293,1.001428001,1.001443649,1.001064823,1.001383532,1.001891013
2/1/1928,1.001342358,1.000793327,1.0009282,1.001411533,1.001092034,1.001397959,1.001334692,1.000905453,1.001254554,1.001673402
3/1/1928,1.001628741,1.001040323,1.001257706,1.001576566,1.001311874,1.001713599,1.00157381,1.001204124,1.001560938,1.00214499
4/1/1928,1.001934038,1.001446345,1.001868473,1.002116616,1.00160626,1.002313025,1.001716034,1.00136752,1.001713976,1.002471288
5/1/1928,1.002499129,1.001468777,1.001982285,1.002121426,1.00171243,1.002353518,1.001851466,1.001509714,1.001893083,1.002698649
6/1/1928,1.002115773,1.001201185,1.001682492,1.001888934,1.001449981,1.002189132,1.001575356,1.001199246,1.001630186,1.002413481
7/1/1928,1.002020372,1.001188369,1.001640822,1.001891339,1.001441569,1.002226013,1.001651075,1.001186431,1.001689883,1.002489665
8/1/1928,1.002207549,1.001358571,1.001849964,1.001990326,1.001708754,1.00254913,1.00185421,1.001523631,1.002043279,1.00276956
9/1/1928,1.002395162,1.001617323,1.0019774,1.002086517,1.001836972,1.002727985,1.002142343,1.001718727,1.002290183,1.003102479
10/1/1928,1.002388747,1.001571248,1.002041126,1.002086116,1.00183016,1.00275566,1.002182829,1.001829317,1.002412061,1.003474831
11/1/1928,1.002747602,1.002046794,1.002395848,1.002508194,1.002250528,1.003297148,1.00278013,1.002189174,1.002899233,1.004233056
12/1/1928,1.002523388,1.002001902,1.002439954,1.002476515,1.002200415,1.00340109,1.002833478,1.00221924,1.002904047,1.004209758
1/1/1929,1.002590356,1.002099698,1.002512931,1.002563931,1.002347137,1.003493403,1.003029231,1.002400842,1.003143541,1.004319418
2/1/1929,1.002430343,1.002108115,1.002565463,1.00256353,1.002305039,1.003521099,1.003103455,1.002425301,1.003242651,1.004470066
3/1/1929,1.002212214,1.002003095,1.002422698,1.002473299,1.002218841,1.00339024,1.002878359,1.002332275,1.003076916,1.004503414
4/1/1929,1.002053063,1.00210089,1.002536974,1.002442824,1.00225452,1.003445627,1.002992286,1.002412863,1.003165989,1.004624356
5/1/1929,1.001508747,1.001605051,1.002273507,1.002089964,1.002044046,1.003145798,1.002717466,1.002091289,1.002777563,1.004131689
6/1/1929,1.001660977,1.001830211,1.002422244,1.00233728,1.002225617,1.003451958,1.00303633,1.002516176,1.003374416,1.004655042
7/1/1929,1.001645351,1.001748061,1.002501636,1.002350912,1.00233506,1.00363579,1.003094506,1.002638884,1.003513283,1.004718134
8/1/1929,1.001511531,1.001729629,1.002517676,1.002321643,1.002378761,1.003775496,1.003397441,1.002902377,1.003826781,1.004949622
9/1/1929,1.001229505,1.00141188,1.002284691,1.00216488,1.002203947,1.003623324,1.00326419,1.002742715,1.003711943,1.004909022
10/1/1929,1.000330802,1.000516218,1.001439565,1.001341502,1.00160984,1.002953707,1.002616482,1.001986246,1.002878059,1.003812063
11/1/1929,0.999883454,0.99997794,1.000955669,1.001017868,1.001122657,1.002634366,1.002175331,1.001561404,1.002321261,1.00316882
12/1/1929,0.999352316,0.999588749,1.000812733,1.000924173,1.001067395,1.00254814,1.002034225,1.001609879,1.002384207,1.003350594
1/1/1930,1.000337677,1.000432801,1.001389201,1.001298118,1.001420572,1.002824041,1.002364495,1.001855073,1.002581476,1.003537619
2/1/1930,1.000527341,1.000621283,1.001545017,1.00142348,1.001482259,1.002913894,1.002467538,1.001921997,1.002673714,1.003690157
3/1/1930,1.001500654,1.001172025,1.001978085,1.001745138,1.001933727,1.003215972,1.00275264,1.002214559,1.002908339,1.004002103
4/1/1930,1.001315176,1.001073509,1.001610159,1.001442611,1.001703683,1.003037399,1.002471468,1.002060618,1.002912752,1.003890458
5/1/1930,1.000924263,1.00077559,1.001466728,1.001283181,1.001631561,1.002866883,1.002405305,1.00197364,1.00289149,1.003788463
6/1/1930,0.999938953,0.999865685,1.000581031,1.000527012,1.000830656,1.002184131,1.001836741,1.001492692,1.002301389,1.002956122
7/1/1930,1.000141341,1.000039661,1.000755132,1.000519008,1.001098078,1.002387775,1.002000241,1.001579221,1.002389191,1.003142672
8/1/1930,0.999865302,0.999938857,1.000678674,1.000376934,1.001092472,1.002305178,1.001998638,1.001505505,1.002429687,1.003161932
9/1/1930,0.998992219,0.999138506,0.999862921,0.999743495,1.000492217,1.001754712,1.00146357,1.001055629,1.002015483,1.002769495
10/1/1930,0.998576239,0.998580188,0.999365389,0.99918164,1.000090819,1.001415718,1.001235637,1.000717672,1.001722895,1.002460241
11/1/1930,0.998584627,0.998573397,0.999227077,0.9991073,0.999970808,1.001316778,1.001105877,1.000576371,1.001684829,1.002428563
12/1/1930,0.997588838,0.997819674,0.998519225,0.998510634,0.999332827,1.000872995,1.000572488,1.000224969,1.001428398,1.002189584
1/1/1931,0.998716912,0.998806717,0.999201812,0.99908937,0.999855278,1.001329393,1.000999532,1.000485427,1.001627882,1.002656204
2/1/1931,0.999720023,0.999863854,0.999900055,0.999817507,1.000597171,1.001931793,1.001530062,1.000890023,1.001930775,1.002940156
3/1/1931,0.999272149,0.999415516,0.999569688,0.999721124,1.00029419,1.001653656,1.001156291,1.00069545,1.00180373,1.003018786
4/1/1931,0.998340827,0.998652762,0.998782427,0.999012522,0.999666005,1.001030628,1.000574419,1.000290369,1.001377763,1.00267455
5/1/1931,0.997637995,0.997876609,0.998157189,0.998418709,0.999039015,1.000418798,1.000074932,0.999826634,1.000978814,1.002350486
6/1/1931,0.998730608,0.999096413,0.999005622,0.999278547,0.999959729,1.001157907,1.000645775,1.000284555,1.001408034,1.002694894
7/1/1931,0.998262403,0.998673595,0.998598428,0.998860449,0.999600544,1.000964884,1.000441243,1.000220937,1.001259825,1.002580987
